,codi_estacio,nom_estacio,codi_tipus,latitud,longitud,geocoded_column,emplacament,altitud,codi_municipi,nom_municipi,codi_comarca,nom_comarca,codi_provincia,nom_provincia,codi_xarxa,nom_xarxa,codi_estat_ema,nom_estat_ema,data_inici
133,WJ,el Masroig,A,41.1223,0.72182,"{'type': 'Point', 'coordinates': [0.72182, 41.1223]}",Finca Terranova,141,675,El Masroig,29,Priorat,43,Tarragona,1,XEMA,2,Operativa,2000-06-20T00:00:00.000
134,XM,els Alamús,A,41.59522,0.73507,"{'type': 'Point', 'coordinates': [0.73507, 41.59522]}",-,235,741,Els Alamús,33,Segrià,25,Lleida,1,XEMA,2,Operativa,2011-06-22T00:00:00.000
135,DJ,Banyoles,A,42.11653,2.78969,"{'type': 'Point', 'coordinates': [2.78969, 42.11653]}",Abocador comarcal de Puigpalter,176,636,Banyoles,28,Pla de l'Estany,17,Girona,1,XEMA,2,Operativa,1999-10-11T00:00:00.000
136,U7,Aldover,A,40.85936,0.50525,"{'type': 'Point', 'coordinates': [0.50525, 40.85936]}",Granges de Fabra,52,238,Aldover,9,Baix Ebre,43,Tarragona,1,XEMA,2,Operativa,1994-12-31T00:00:00.000
137,WE,Vilanova del Vallès,A,41.5444,2.30014,"{'type': 'Point', 'coordinates': [2.30014, 41.5444]}",Mas Casa Alta,126,946,Vilanova del Vallès,41,Vallès Oriental,8,Barcelona,1,XEMA,2,Operativa,2000-07-05T00:00:00.000
138,WT,Malgrat de Mar,A,41.64707,2.75658,"{'type': 'Point', 'coordinates': [2.75658, 41.64707]}",Camí de la Pomereda,2,494,Malgrat de Mar,21,Maresme,8,Barcelona,1,XEMA,2,Operativa,2005-05-04T00:00:00.000
139,XU,Canyelles,A,41.28801,1.72195,"{'type': 'Point', 'coordinates': [1.72195, 41.28801]}",Cementiri,148,406,Canyelles,17,Garraf,8,Barcelona,1,XEMA,2,Operativa,2013-07-16T00:00:00.000
140,Z8,el Port del Comte (2.316 m),A,42.18254,1.52407,"{'type': 'Point', 'coordinates': [1.52407, 42.18254]}",Port del Comte,2316,806,La Coma i la Pedra,35,Solsonès,25,Lleida,1,XEMA,2,Operativa,2002-10-03T00:00:00.000
141,D2,Vacarisses,A,41.59252,1.915,"{'type': 'Point', 'coordinates': [1.915, 41.59252]}",Planta potabilitzadora,343,902,Vacarisses,40,Vallès Occidental,8,Barcelona,1,XEMA,2,Operativa,1996-02-15T00:00:00.000
142,UU,Amposta,A,40.70776,0.6321,"{'type': 'Point', 'coordinates': [0.6321, 40.70776]}","IRTA - Estació Exp. Ebre, ctra. de Balada, s/n",3,515,Amposta,22,Montsià,43,Tarragona,1,XEMA,2,Operativa,1992-02-06T00:00:00.000
143,YF,Mont-roig del Camp,A,41.02001,0.93474,"{'type': 'Point', 'coordinates': [0.93474, 41.02001]}",Plana dels Penyals,42,225,Mont-roig del Camp,8,Baix Camp,43,Tarragona,1,XEMA,2,Operativa,2017-12-20T00:00:00.000
144,YH,Pujalt,A,41.71734,1.42403,"{'type': 'Point', 'coordinates': [1.42403, 41.71734]}",Observatori de Pujalt,747,163,Pujalt,6,Anoia,8,Barcelona,1,XEMA,2,Operativa,2018-04-06T00:00:00.000
145,VA,Ascó,A,41.19645,0.51161,"{'type': 'Point', 'coordinates': [0.51161, 41.19645]}",Camí de la Serra de les Moncas,257,686,Ascó,30,Ribera d'Ebre,43,Tarragona,1,XEMA,2,Operativa,1998-06-15T00:00:00.000
146,XN,Seròs,A,41.46379,0.42765,"{'type': 'Point', 'coordinates': [0.42765, 41.46379]}",EDAR Aitona-Seròs,89,768,Seròs,33,Segrià,25,Lleida,1,XEMA,2,Operativa,2011-12-15T00:00:00.000
147,UG,Viladecans,A,41.29928,2.03787,"{'type': 'Point', 'coordinates': [2.03787, 41.29928]}","Planters Gusi, ctra. antiga de València, km 14",3,316,Viladecans,11,Baix Llobregat,8,Barcelona,1,XEMA,2,Operativa,1993-04-29T00:00:00.000
148,V1,Vallfogona de Balaguer,A,41.78487,0.82939,"{'type': 'Point', 'coordinates': [0.82939, 41.78487]}",Escola de Cap. Agrària - Finca l'Empalme,238,553,Vallfogona de Balaguer,23,Noguera,25,Lleida,1,XEMA,2,Operativa,1990-10-17T00:00:00.000
149,YE,Massoteres,A,41.79409,1.305756,"{'type': 'Point', 'coordinates': [1.305756, 41.79409]}",la Creu de Massoteres,513,726,Massoteres,32,Segarra,25,Lleida,1,XEMA,2,Operativa,2017-05-17T00:00:00.000
150,Z7,Espot (2.519 m),A,42.53412,1.05476,"{'type': 'Point', 'coordinates': [1.05476, 42.53412]}",Espot,2519,624,Espot,26,Pallars Sobirà,25,Lleida,1,XEMA,2,Operativa,2002-03-01T00:00:00.000
151,Z2,Boí (2.535 m),A,42.46602,0.88405,"{'type': 'Point', 'coordinates': [0.88405, 42.46602]}",Vall de Boí,2535,139,La Vall de Boí,5,Alta Ribagorça,25,Lleida,1,XEMA,2,Operativa,1998-11-13T00:00:00.000
152,D4,Roses,A,42.27065,3.18165,"{'type': 'Point', 'coordinates': [3.18165, 42.27065]}",Poliesportiu Municipal,24,68,Roses,2,Alt Empordà,17,Girona,1,XEMA,2,Operativa,1996-02-07T00:00:00.000
153,WM,Santuari de Queralt,A,42.10736,1.8267,"{'type': 'Point', 'coordinates': [1.8267, 42.10736]}",Santuari de la Mare de Déu de Queralt,1167,338,Berga,14,Berguedà,8,Barcelona,1,XEMA,2,Operativa,2002-01-23T00:00:00.000
154,UY,Os de Balaguer - el Monestir d'Avellanes,A,41.87912,0.76103,"{'type': 'Point', 'coordinates': [0.76103, 41.87912]}",Quatre Vents - Monestir de les Avellanes,576,545,Os de Balaguer,23,Noguera,25,Lleida,1,XEMA,2,Operativa,1995-07-07T00:00:00.000
155,XL,el Prat de Llobregat,A,41.34045,2.08022,"{'type': 'Point', 'coordinates': [2.08022, 41.34045]}",Camí de la Ribera s/n,8,304,El Prat de Llobregat,11,Baix Llobregat,8,Barcelona,1,XEMA,2,Operativa,2011-03-22T00:00:00.000
156,XP,Gandesa,A,41.06581,0.43006,"{'type': 'Point', 'coordinates': [0.43006, 41.06581]}",IRTA UETA Gandesa,349,846,Gandesa,37,Terra Alta,43,Tarragona,1,XEMA,2,Operativa,2011-11-30T00:00:00.000
157,YA,Puigcerdà,A,42.44013,1.93482,"{'type': 'Point', 'coordinates': [1.93482, 42.44013]}",Poliesportiu municipal,1213,381,Puigcerdà,15,Cerdanya,17,Girona,1,XEMA,2,Operativa,2016-03-22T00:00:00.000
