codi_estacio,nom_estacio,latitud,longitud,RS,HRx,T,HR,PPT,Tx,Tn,HRn,PPTx1min,DV10,DVVx10,Px,Pn,VV10,P,VVx10,GNEU,VV2,DV2,VVx2,DVVx2,RN,VV6,DV6,VVx6,DVVx6,X,Y
UH,el Montmell,41.34171,1.48769,977,30,27.9,29,0,28.6,27.1,27,0,,,,,,,,,,,,,,3.1,172,7.8,149,373469.6507194693,4577794.410094475
UI,Gisclareny,42.26477,1.76218,,41,22.2,37,0,22.9,21.2,34,0,,,,,,,,,,,,,,,,,,397911.9805841075,4679915.743471627
UJ,Santa Coloma de Queralt,41.52879,1.3683,963,33,24.5,32,0,24.9,24.1,30,0,,,,,,,,,,,,,,4.8,180,8.2,178,363871.8686567616,4598745.786444481
UK,Sant Pere de Ribes - PN del Garraf,41.27861,1.80479,,41,26.7,38,0,27.5,26.1,33,0,,,,,,,,,,,,,,,,,,399904.51975823025,4570374.976560883
UM,la Granadella,41.35991,0.66789,956,31,26.6,29,0,27.5,26.1,28,0,,,,,,,,,4.7,167,8.8,156,,,,,,304929.83024538506,4581335.818577637
UN,Cassà de la Selva,41.87449,2.92694,927,37,26.9,35,0,27.7,26.4,31,0,,,,,,,,,3,193,7.9,222,,,,,,493937.46900281176,4635843.726399378
UO,Fornells de la Selva,41.91461,2.82069,,39,27.6,37,0,28.1,27.3,36,0,,,,,,,,,,,,,,,,,,485130.13282037165,4640311.085420738
UP,Cabrils,41.51773,2.37702,926,62,23.4,58,0,23.9,22.8,55,0,174,155,1008,1007.8,2.4,1007.9,5.1,,,,,,572,,,,,448018.4210952115,4596419.92051307
UQ,Dosrius - PN Montnegre Corredor,41.61991,2.44532,943,44,24.5,41,0,25.1,24.1,37,0,,,,,,,,,2.5,197,6.6,206,,,,,,453790.2820353033,4607725.23535215
US,Alcanar,40.55786,0.52329,961,75,23.1,69,0,24,22.4,63,0,,,,,,,,,1.5,115,3.3,121,,,,,,290309.00305607315,4492625.072398845
UU,Amposta,40.70776,0.6321,953,64,23.7,61,0,24.2,23.2,58,0,149,159,1016.9,1016.7,4.8,1016.8,7.4,,,,,,545,,,,,299970.3818404627,4509013.098368885
UW,els Alfacs,40.62725,0.65922,961,74,23.6,70,0,23.9,23.1,68,0,,,1017.2,1017,,1017.1,,,1.4,163,3.1,139,500,,,,,302023.45824083127,4500013.666608656
UX,Ulldecona - els Valentins,40.62652,0.37112,962,48,25.9,43,0,26.7,25.2,40,,,,,,,,,,2.6,123,,,,,,,,277651.86786156957,4500621.212662784
W8,Blancafort,41.44237,1.15998,,,25.9,,,,,,,,,,,,,,,,,,,,,,,,346287.43854938186,4589500.135389275
WA,Oliola,41.87694,1.1541,,,,24,,,,,,,,,,,,,,,,,,,,,,,346829.8303340585,4637760.497155271
WV,Guardiola de Berguedà,42.23414,1.87485,,,,,,,,,,,163,,,,,,,,,,,,,,,,407159.54161975015,4676385.824416218
X5,PN dels Ports,40.79705,0.31822,,,20.6,,,,,,,,,,,,,,,,,,,,,,,,273755.56535125955,4519688.966441943
YC,la Pobla de Segur,42.24388,0.96802,,,,,,,,,,198,,,,,,,,,,,,,,,,,332356.90889078355,4678853.477605567
Z8,el Port del Comte (2.316 m),42.18254,1.52407,,,,,0,,,,,,,,,,,,,,,,,,,,,,378115.60124244477,4671098.032280553
